"DateTime";"240291601000052 - Total batería";"240291601000052 - Máx. celda";"240291601000052 - Mín. celda"
"2025-02-04 11:38:53";26,2;3291;3270
"2025-02-04 11:44:07";26,2;3295;3273
"2025-02-04 11:49:18";26,3;3296;3275
"2025-02-04 11:54:30";26,3;3297;3276
"2025-02-04 11:59:41";26,2;3290;3267
"2025-02-04 12:04:53";26,2;3294;3272
"2025-02-04 12:10:06";26,3;3296;3275
"2025-02-04 12:15:18";26,3;3297;3276
"2025-02-04 12:20:29";26,3;3298;3276
"2025-02-04 12:25:41";26,3;3299;3277
"2025-02-04 12:30:52";26,3;3300;3277
"2025-02-04 12:36:06";26,3;3300;3278
"2025-02-04 12:41:17";26,3;3300;3278
"2025-02-04 12:46:28";26,3;3295;3273
"2025-02-04 12:51:40";26,3;3298;3277
"2025-02-04 12:56:51";26,3;3299;3277
"2025-02-04 13:02:05";26,3;3300;3278
"2025-02-04 13:07:16";26,3;3302;3278
"2025-02-04 13:12:28";26,3;3301;3278
"2025-02-04 13:17:39";26,1;3281;3258
"2025-02-04 13:22:51";26,2;3295;3273
"2025-02-04 13:28:04";26,3;3297;3275
"2025-02-04 13:33:16";26,3;3298;3275
"2025-02-04 13:38:27";26,3;3298;3276
"2025-02-04 13:43:39";26,3;3299;3277
"2025-02-04 13:48:50";26,3;3299;3278
"2025-02-04 13:54:04";25,6;3231;3190
"2025-02-04 13:59:15";26,2;3292;3269
"2025-02-04 14:04:27";26,3;3296;3273
"2025-02-04 14:09:38";26,3;3298;3275
"2025-02-04 14:14:49";26;3268;3244
"2025-02-04 14:20:03";26;3266;3244
"2025-02-04 14:25:14";26,2;3291;3269
"2025-02-04 14:30:26";26,2;3284;3261
"2025-02-04 14:35:37";26,2;3285;3262
"2025-02-04 14:40:48";26,2;3292;3270
"2025-02-04 14:46:02";26,2;3295;3272
"2025-02-04 14:51:14";27;3387;3362
"2025-02-04 14:56:25";27;3391;3364
"2025-02-04 15:01:36";27;3389;3364
"2025-02-04 15:06:48";27;3390;3364
"2025-02-04 15:12:01";27;3394;3364
"2025-02-04 15:17:13";27,1;3402;3366
"2025-02-04 15:22:24";27,1;3403;3370
"2025-02-04 15:27:36";27,1;3415;3375
"2025-02-04 15:32:47";27,2;3421;3382
"2025-02-04 15:37:58";27,3;3430;3393
"2025-02-04 15:43:12";27,4;3445;3411
"2025-02-04 15:48:23";27,2;3454;3370
"2025-02-04 15:53:35";26,8;3368;3342
"2025-02-04 15:58:46";26,8;3364;3339
"2025-02-04 16:03:58";26,8;3360;3336
"2025-02-04 16:09:11";26,8;3360;3335
"2025-02-04 16:14:23";26,8;3358;3334
"2025-02-04 16:19:34";26,8;3362;3333
"2025-02-04 16:24:46";26,7;3354;3331
"2025-02-04 16:29:57";26,7;3352;3331
"2025-02-04 16:35:11";26,7;3352;3331
"2025-02-04 16:40:22";26,7;3352;3330
"2025-02-04 16:45:34";26,7;3350;3327
"2025-02-04 16:50:45";26,7;3351;3325
